"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","新建用户","新建用户成功","0","0","1","0","0"
"","获取登录信息","获取用户信息","0","0","1","0","0"
"","登录模块","用户名超过15位","0","0","1","0","0"
"","登录模块","用户名不存在","0","0","1","0","0"
"","登录模块","用户名为空","1","0","0","0","0"
"","登录模块","登录成功","0","0","1","0","0"
"","新建用户","获取信息成功","0","0","1","0","0"
"","登录模块","无参数","0","0","1","0","0"
"","新建用户","获取列表成功","0","0","1","0","0"
"","修改密码模块","修改密码成功","0","0","1","0","0"
"","新建用户","登录成功","0","0","1","0","0"
"","登录模块","密码错误","0","0","1","0","0"
